"name","weekday","income"
Dirk Stringer,sunday   ,698820601
Michel DeFrance,sunday   ,438321489
Albert Ringer,sunday   ,362985487
Heather McBadden,sunday   ,266458385
Innes del Castillo,sunday   ,244679492
Abraham Bennet,sunday   ,232328748
Dean Straight,sunday   ,176873006
Sheryl Hunter,sunday   ,148514539
Livia Karsen,sunday   ,137975385
Michael O'Leary,sunday   ,125981635
Burt Gringlesby,sunday   ,112782281
Marjorie Green,sunday   ,104815534
Sylvia Panteley,sunday   ,95337213
Charlene Locksley,sunday   ,93745117
Johnson White,sunday   ,88933984
Reginald Blotchet-Halls,sunday   ,80496473
Cheryl Carson,sunday   ,69553596
Morningstar Greene,sunday   ,68473054
Meander Smith,sunday   ,56678280
Anne Ringer,sunday   ,49050829
Ann Dull,sunday   ,34138288
Stearns MacFeather,sunday   ,27431435
Dirk Stringer,monday   ,759341454
Michel DeFrance,monday   ,479584921
Albert Ringer,monday   ,392378038
Heather McBadden,monday   ,293014643
Innes del Castillo,monday   ,260992756
Abraham Bennet,monday   ,231845241
Dean Straight,monday   ,192550177
Sheryl Hunter,monday   ,153301531
Michael O'Leary,monday   ,138096278
Livia Karsen,monday   ,132386625
Burt Gringlesby,monday   ,118429815
Charlene Locksley,monday   ,108450663
Reginald Blotchet-Halls,monday   ,103178571
Johnson White,monday   ,98560782
Marjorie Green,monday   ,97539868
Sylvia Panteley,monday   ,96399427
Cheryl Carson,monday   ,77977657
Morningstar Greene,monday   ,67381291
Anne Ringer,monday   ,53386961
Meander Smith,monday   ,52160238
Ann Dull,monday   ,39656842
Stearns MacFeather,monday   ,30778276
Dirk Stringer,tuesday  ,734550038
Michel DeFrance,tuesday  ,467420387
Albert Ringer,tuesday  ,419021705
Innes del Castillo,tuesday  ,285473369
Heather McBadden,tuesday  ,267891418
Abraham Bennet,tuesday  ,259058032
Dean Straight,tuesday  ,183459092
Sheryl Hunter,tuesday  ,163754751
Livia Karsen,tuesday  ,145696078
Michael O'Leary,tuesday  ,125258271
Burt Gringlesby,tuesday  ,114454018
Marjorie Green,tuesday  ,102488971
Charlene Locksley,tuesday  ,102419646
Johnson White,tuesday  ,100275590
Sylvia Panteley,tuesday  ,99289901
Reginald Blotchet-Halls,tuesday  ,89298154
Cheryl Carson,tuesday  ,76905547
Morningstar Greene,tuesday  ,67737441
Meander Smith,tuesday  ,63913954
Anne Ringer,tuesday  ,55417862
Ann Dull,tuesday  ,38097808
Stearns MacFeather,tuesday  ,31056506
Dirk Stringer,wednesday,642376642
Michel DeFrance,wednesday,439203901
